"","X","Column1","study","year","active_type","control_type","psy_or_med","descr_active","descr_control","instrument","instrument_name","instrument_value","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","responders_active","responders_control","resp_rate_active","resp_rate_control","resp_rate_active_completers","resp_rate_control_completers","responders_active_30","responders_control_30","responders_active_35","responders_control_35","...49","percent_women","cuij_responders_active","cuij_responders_control","time_weeks","comorbid_mental","comorbid_mental.","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","no_sites","Notes","comorbid_mental?","cohens_d_active","cohens_d_control","study_ID","cip_change_actv","cip_change_sd_actv","cip_change_n_actv","ae_dropouts_actv","ae_dropouts_n_actv","cip_responders_actv","cip_responders_n_actv","cip_responders_n_missing_actv","all_cause_dropouts_actv","all_cause_dropouts_n_actv","suicides_actv","suicide_n_actv","cip_change_ctrl","cip_change_sd_ctrl","cip_change_n_ctrl","ae_dropouts_ctrl","ae_dropouts_n_ctrl","cip_responders_ctrl","cip_responders_n_ctrl","cip_responders_n_missing_ctrl","all_cause_dropouts_ctrl","all_cause_dropouts_n_ctrl","suicides_ctrl","suicide_n_ctrl","change_active","change_control","scale_min","scale_max","perc_baseline_mean_active","perc_baseline_sd_active","perc_baseline_mean_control","perc_baseline_sd_control","perc_post_mean_active","perc_post_sd_active","perc_post_mean_control","perc_post_sd_control","baseline_st_error_active","baseline_st_error_control","new_study_id"
"54",NA,46,"Kahn, 1990","1990","cbt","other ctr",1,"cbt","Relaxation","cdi","cdi",5,"self-report",31.11,9.58,17,26.94,10.83,17,7.29,66.03,17,12.88,10.71,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,0.588235294117647,0.411764705882353,0.588235294117647,0.411764705882353,NA,NA,NA,NA,43,52,NA,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,12.1,NA,NA,NA,"mdd",NA,NA,NA,-0.630075386853591,-1.30547818012999,"Kahn, 1990_cbt_Relaxation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.82,-14.06,0,54,0.576111111111111,0.177407407407407,0.498888888888889,0.200555555555556,0.135,1.22277777777778,0.238518518518519,0.198333333333333,2.32349128784807,2.62666081914349,"Kahn, 1990"
"55",NA,40,"Kahn, 1990","1990","cbt","wl",1,"cbt","wlc","cdi","cdi",5,"self-report",31.11,9.58,17,28.06,9.75,17,7.29,66.03,17,26.94,15.41,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,0.647058823529412,0.0588235294117647,0.647058823529412,0.0588235294117647,NA,NA,NA,NA,37,52,11,3,NA,"n",NA,"us",NA,NA,NA,NA,NA,12.1,NA,NA,NA,"mdd",NA,NA,NA,-0.630075386853591,-0.0890302066772653,"Kahn, 1990_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.82,-1.12,0,54,0.576111111111111,0.177407407407407,0.51962962962963,0.180555555555556,0.135,1.22277777777778,0.498888888888889,0.28537037037037,2.32349128784807,2.36472234410425,"Kahn, 1990"
"56",NA,43,"Kahn, 1990","1990","other psy","wl",1,"self-modeling","wlc","cdi","cdi",5,"self-report",27.18,7.84,17,28.06,9.75,17,13.58,7.38,17,26.94,15.41,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,0.352941176470588,0.411764705882353,0.352941176470588,0.411764705882353,NA,NA,NA,NA,40,52,8,3,NA,"n",NA,"us",NA,NA,NA,NA,NA,12.1,NA,NA,NA,"mdd",NA,NA,NA,-1.78712220762155,-0.0890302066772653,"Kahn, 1990_self-modeling_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.6,-1.12,0,54,0.503333333333333,0.145185185185185,0.51962962962963,0.180555555555556,0.251481481481481,0.136666666666667,0.498888888888889,0.28537037037037,1.90147930028485,2.36472234410425,"Kahn, 1990"
"57",45,45,"Keller","2001","Imipramine","Placebo",0,"Imipramine","Placebo","HAM-D","hamd",2,"clinician",18.11,4.19,95,18.97,4.1,87,9.2,7.85,94,9.88,7.74,87,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",55,94,0.585106382978723,48,87,0.551724137931034,46,38,0.484210526315789,0.436781609195402,0.48936170212766,0.436781609195402,64,60,60,67,NA,NA,NA,NA,8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.9,1.6,15.1,1.6,NA,NA,58.9,65.5,"mdd","12",NA,NA,-1.48006644518272,-1.53547297297297,"Keller_2001_Imipramine_Placebo",-8.91,6.8,94,30,95,49,94,1,38,95,2,95,-9.09,6.71,87,6,87,42,87,0,21,87,1,87,NA,NA,0,52,0.348269230769231,0.0805769230769231,0.364807692307692,0.0788461538461538,0.176923076923077,0.150961538461538,0.19,0.148846153846154,0.42988492952368,0.439566139283496,"Keller, 2001"
"58",42,42,"Keller","2001","Paroxetine","Placebo",0,"Paroxetine","Placebo","HAM-D","hamd",2,"clinician",18.98,4.15,93,18.97,4.1,87,8.24,7.68,90,9.88,7.74,87,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",60,90,0.666666666666667,48,87,0.551724137931034,55,46,0.591397849462366,0.528735632183908,0.611111111111111,0.528735632183908,67,58,57,49,NA,NA,NA,NA,8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.8,1.6,15.1,1.6,NA,NA,62.4,65.5,"mdd","12",NA,NA,-1.81572273879966,-1.53547297297297,"Keller_2001_Paroxetine_Placebo",-10.74,6.66,90,9,93,59,90,3,26,93,4,93,-9.09,6.71,87,6,87,42,87,0,21,87,1,87,NA,NA,0,52,0.365,0.0798076923076923,0.364807692307692,0.0788461538461538,0.158461538461538,0.147692307692308,0.19,0.148846153846154,0.430334953313127,0.439566139283496,"Keller, 2001"
"59",48,48,"Klein","1998","Desipramine","Placebo",0,"Desipramine","Placebo","HAM-D","hamd",2,"clinician",21.44,3.7,23,21.33,5.2,22,10.23,2.1,18,14.61,2.1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0.347826086956522,0,0.444444444444444,0,18,10,18,9,NA,NA,NA,NA,6,"y","Anxiety disorders and behaviour disorders","USA","13 to 18",NA,NA,NA,NA,15.66,1.43,67,67,"mdd","missing",NA,NA,-3.86551724137931,-1.84109589041096,"Klein_1998_Desipramine_Placebo",-10.61,3.21,18,1,23,12,18,5,5,23,NA,NA,-6.72,4.53,18,2,22,9,18,4,4,22,NA,NA,NA,NA,0,52,0.412307692307692,0.0711538461538462,0.410192307692308,0.1,0.196730769230769,0.0403846153846154,0.280961538461538,0.0403846153846154,0.771503332011177,1.10864372504917,"Klein, 1998"
"60",51,51,"Kutcher","1994","Desipramine","Placebo",0,"Desipramine","Placebo","HAM-D","hamd",2,"clinician",22.63,5.17,30,23.77,5.31,30,12.68,8.68,17,13.42,8.43,25,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",NA,NA,0.48,NA,NA,0.35,9,7,0.3,0.233333333333333,0.529411764705882,0.28,11,14,14,16,NA,NA,NA,NA,6,"n",NA,"Canada","15 to 20",NA,NA,NA,NA,17.8,NA,70,70,"mdd","missing",NA,NA,-1.43682310469314,-1.50655021834061,"Kutcher_1994_Desipramine_Placebo",-9.95,7.56,17,9,30,8,17,13,13,30,NA,NA,-10.35,7.38,25,1,30,9,25,5,5,30,NA,NA,NA,NA,0,52,0.435192307692308,0.0994230769230769,0.457115384615385,0.102115384615385,0.243846153846154,0.166923076923077,0.258076923076923,0.162115384615385,0.943908540767236,0.969468926784144,"Kutcher, 1994"
"61",52,52,"Kutcher","1994","Desipramine","Placebo",0,"Desipramine","Placebo","HAM-D","hamd",2,"clinician",22.63,5.17,30,23.77,5.31,30,12.68,8.68,17,13.42,8.43,25,NA,NA,NA,NA,NA,NA,"Dichotomous outcome variable (well/ill). Final HAM-D score of 7 or less indicated well",NA,NA,0.28,NA,NA,NA,7,13,0.233333333333333,0.433333333333333,0.411764705882353,0.52,10,18,7,13,NA,NA,NA,NA,6,"n",NA,"Canada","15 to 20",NA,NA,NA,NA,17.8,NA,70,70,"mdd","missing",NA,NA,-1.43682310469314,-1.50655021834061,"Kutcher_1994_Desipramine_Placebo",-9.95,7.56,17,9,30,8,17,13,13,30,NA,NA,-10.35,7.38,25,1,30,9,25,5,5,30,NA,NA,NA,NA,0,52,0.435192307692308,0.0994230769230769,0.457115384615385,0.102115384615385,0.243846153846154,0.166923076923077,0.258076923076923,0.162115384615385,0.943908540767236,0.969468926784144,"Kutcher, 1994"
"62",55,55,"Kye","1996","Amitriptyline","Placebo",0,"Amitriptyline","Placebo","HAM-D","hamd",2,"clinician",12,4.5,18,13.2,4.1,13,8,4.9,12,8.8,4.5,10,NA,NA,NA,NA,NA,NA,"50% improvement",13,18,0.722222222222222,11,13,0.846153846153846,7,4,0.388888888888889,0.307692307692308,0.583333333333333,0.4,7,9,9,4,NA,NA,NA,NA,8,"n",NA,"USA","12 to 17",14.6,1.8,15.1,2.1,NA,NA,27.7,30.8,"mdd","missing",NA,NA,-0.851063829787234,-1.02325581395349,"Kye_1996_Amitriptyline_Placebo",-4,4.71,18,1,18,13,18,0,6,18,NA,NA,-4.4,4.31,13,1,13,11,13,0,3,13,NA,NA,NA,NA,0,52,0.230769230769231,0.0865384615384615,0.253846153846154,0.0788461538461538,0.153846153846154,0.0942307692307692,0.169230769230769,0.0865384615384615,1.06066017177982,1.13713540226172,"Kye, 1996"
"63",90,90,"Le Noury","2015","Imipramine","Placebo",0,"Imipramine","Placebo","HAM-D","hamd",2,"clinician",18.1,4.19,95,19,4.1,87,9.1,4.19,NA,9.9,4.1,NA,-9,7.85,94,-9.1,0.83,87,"HAM-D score ≤8 or ≥50% improvement",55,94,0.585106382978723,48,87,0.551724137931034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"y","Anxiety disorder, Oppositional Defiant Disorder, Conduct Disorder, ADHD","USA, Canada","12 to 18",14.9,1.6,15.1,1.6,NA,NA,69.6,52.6,"mdd","12",NA,NA,-2.14797136038186,-2.21951219512195,"Le Noury_2015_Imipramine_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,0.348076923076923,0.0805769230769231,0.365384615384615,0.0788461538461538,0.175,0.0805769230769231,0.190384615384615,0.0788461538461538,0.42988492952368,0.439566139283496,"Le Noury, 2015"
"64",88,88,"Le Noury","2015","Paroxetine","Placebo",0,"Paroxetine","Placebo","HAM-D","hamd",2,"clinician",18.9,4.24,93,19,4.1,87,8.2,4.24,NA,9.9,4.1,NA,-10.7,7.68,90,-9.1,0.83,87,"HAM-D score <8 or ≥50% improvement",60,90,0.666666666666667,48,87,0.551724137931034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"y","Anxiety disorder, Oppositional Defiant Disorder, Conduct Disorder, ADHD","USA, Canada","12 to 18",14.8,1.6,15.1,1.6,NA,NA,60.3,52.6,"mdd","12",NA,NA,-2.52358490566038,-2.21951219512195,"Le Noury_2015_Paroxetine_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,0.363461538461538,0.0815384615384615,0.365384615384615,0.0788461538461538,0.157692307692308,0.0815384615384615,0.190384615384615,0.0788461538461538,0.4396675185657,0.439566139283496,"Le Noury, 2015"
"65",NA,55,"Lewinsohn, 1990","1990","cbt","wl",1,"cwb adolescents + parents","wlc","bdi","bdi",4,"self-report",21.26,11.35,19,23.84,11.43,19,6.47,8.53,19,20.47,10.28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,0.631578947368421,0.157894736842105,0.631578947368421,0.157894736842105,NA,NA,NA,NA,50,65,13,4,NA,"n",NA,"us",NA,16.26,1.17,16.28,1.17,NA,NA,NA,NA,"mood",NA,NA,NA,-1.48792756539235,-0.310456011054814,"Lewinsohn, 1990_cwb adolescents + parents_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.79,-3.37,0,63,0.337460317460317,0.18015873015873,0.378412698412698,0.181428571428571,0.102698412698413,0.135396825396825,0.324920634920635,0.163174603174603,2.60386857943088,2.62222183814052,"Lewinsohn, 1990"
"66",NA,52,"Lewinsohn, 1990","1990","cbt","wl",1,"cwb adolescents only","wlc","bdi","bdi",4,"self-report",21.67,11.34,21,23.84,11.43,19,10,11.91,21,20.47,10.28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,0.428571428571429,0.105263157894737,0.428571428571429,0.105263157894737,NA,NA,NA,NA,47,61,11,4,NA,"n",NA,"us",NA,16.15,0.98,16.28,1.17,NA,NA,NA,NA,"mood",NA,NA,NA,-1.00387096774194,-0.310456011054814,"Lewinsohn, 1990_cwb adolescents only_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.67,-3.37,0,63,0.343968253968254,0.18,0.378412698412698,0.181428571428571,0.158730158730159,0.189047619047619,0.324920634920635,0.163174603174603,2.47459087527615,2.62222183814052,"Lewinsohn, 1990"
"67",NA,58,"Liddle, 1990","1990","cbt","other ctr",1,"cbt (social competence training)","attention placebo (drama)","cdi","cdi",5,"self-report",21,4.45,11,22.3,4.24,10,14.45,6.74,11,19.3,6.93,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.272727272727273,0.1,0.272727272727273,0.1,NA,NA,NA,NA,53,32,NA,NA,NA,"n",NA,"au",NA,NA,NA,NA,NA,9.2,1.15,NA,NA,"cut",NA,NA,NA,-1.17068811438785,-0.53715308863026,"Liddle, 1990_cbt (social competence training)_attention placebo (drama)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.55,-3,0,54,0.388888888888889,0.0824074074074074,0.412962962962963,0.0785185185185185,0.267592592592593,0.124814814814815,0.357407407407407,0.128333333333333,1.34172548337105,1.34080572791139,"Liddle, 1990"
"68",NA,57,"Liddle, 1990","1990","cbt","wl",1,"cbt","wlc","cdi","cdi",5,"self-report",21,4.45,11,20.7,3.34,10,14.45,6.74,11,16.9,6.79,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0.181818181818182,0.1,0.181818181818182,0.1,NA,NA,NA,NA,52,32,3,2,NA,"n",NA,"au",NA,NA,NA,NA,NA,9.2,1.15,NA,NA,"cut",NA,NA,NA,-1.17068811438785,-0.750246791707799,"Liddle, 1990_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.55,-3.8,0,54,0.388888888888889,0.0824074074074074,0.383333333333333,0.0618518518518519,0.267592592592593,0.124814814814815,0.312962962962963,0.125740740740741,1.34172548337105,1.05620073849624,"Liddle, 1990"
"69",NA,59,"Listug-Lunde, 2013","2013","cbt","cau",1,"cwd","cau","cdi","cdi",5,"self-report",21,5.29,8,20.37,4.1,8,14.38,9.93,8,13.25,9.87,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.375,0.375,0.375,0.375,NA,NA,NA,NA,54,38,3,3,NA,"n",NA,"us",NA,12.38,0.92,12.5,1.07,NA,NA,NA,NA,"cut",NA,NA,NA,-0.869908015768725,-1.01932712956335,"Listug-Lunde, 2013_cwd_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.62,-7.12,0,54,0.388888888888889,0.097962962962963,0.377222222222222,0.0759259259259259,0.266296296296296,0.183888888888889,0.24537037037037,0.182777777777778,1.87029743623842,1.44956890143242,"Listug-Lunde, 2013"
"70",NA,60,"Luby, 2012","2012","other psy","other ctr",1,"PCIT-ED intervention (Parent-Child Interaction Therapy Emotion Development)","psychoeducation","PFCâ€“S","pfc",99,"parent_report",42.8,5.8,25,39.8,10.3,18,30.1,11.3,25,33.7,10.6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0.28,0.111111111111111,0.28,0.111111111111111,NA,NA,NA,NA,55,37,NA,NA,NA,"n",NA,"us",NA,4.56,NA,4.06,NA,NA,NA,NA,NA,"mdd",NA,NA,NA,-1.48538011695906,-0.583732057416267,"Luby, 2012_PCIT-ED intervention (Parent-Child Interaction Therapy Emotion Development)_psychoeducation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.7,-6.09999999999999,0,80,0.535,0.0725,0.4975,0.12875,0.37625,0.14125,0.42125,0.1325,1.16,2.42773328207381,"Luby, 2012"
"71",NA,61,"Luby, 2012","2012","other psy","other ctr",1,"PCIT-ED intervention (Parent-Child Interaction Therapy Emotion Development)","psychoeducation","PAPA","papa",99,"parent_report",11.3,4.2,25,9,4.7,18,7.6,4,25,7.5,4.7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,0.32,0.222222222222222,0.32,0.222222222222222,NA,NA,NA,NA,56,37,10,5,NA,"n",NA,"us",NA,4.56,NA,4.06,NA,NA,NA,NA,NA,"mdd",NA,NA,NA,-0.902439024390244,-0.319148936170213,"Luby, 2012_PCIT-ED intervention (Parent-Child Interaction Therapy Emotion Development)_psychoeducation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.7,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,1.10780062385892,"Luby, 2012"
"72",82,82,"Lundbeck","2020","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",61.8,8.9,150,60.6,9.1,153,39.8,8.9,NA,42.4,9.1,NA,-22,14.05,137,-18.2,14.05,137,"CDRS ≥50% improvement",68,137,0.496350364963504,49,137,0.357664233576642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.8,1.6,14.8,1.6,NA,NA,67.3,68.2,"mdd","124",NA,NA,-2.47191011235955,-2,"Lundbeck_2020_Fluoxetine_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.466666666666667,0.0927083333333333,0.454166666666667,0.0947916666666667,0.2375,0.0927083333333333,0.264583333333333,0.0947916666666667,0.726681957025676,0.735691395943543,"Lundbeck, 2020"
"73",80,80,"Lundbeck","2020","Vortioxetine (10mg)","Placebo",0,"Vortioxetine (10mg)","Placebo","CDRS","cdrs",1,"clinician",61.2,9.4,145,60.6,9.1,153,44.1,9.4,NA,42.4,9.1,NA,-17.1,14.59,126,-18.2,14.05,137,"CDRS ≥50% improvement",53,126,0.420634920634921,49,137,0.357664233576642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.8,1.66,14.8,1.6,NA,NA,63.3,68.2,"mdd","124",NA,NA,-1.81914893617021,-2,"Lundbeck_2020_Vortioxetine (10mg)_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.460416666666667,0.0979166666666667,0.454166666666667,0.0947916666666667,0.282291666666667,0.0979166666666667,0.264583333333333,0.0947916666666667,0.780627510625156,0.735691395943543,"Lundbeck, 2020"
"74",78,78,"Lundbeck","2020","Vortioxetine (20mg)","Placebo",0,"Vortioxetine (20mg)","Placebo","CDRS","cdrs",1,"clinician",62.5,9.8,159,60.6,9.1,153,43.6,9.8,NA,42.4,9.1,NA,-18.9,14.14,139,-18.2,14.05,137,"CDRS ≥50% improvement",60,139,0.431654676258993,49,137,0.357664233576642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.5,1.63,14.8,1.6,NA,NA,59.9,68.2,"mdd","124",NA,NA,-1.92857142857143,-2,"Lundbeck_2020_Vortioxetine (20mg)_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.473958333333333,0.102083333333333,0.454166666666667,0.0947916666666667,0.277083333333333,0.102083333333333,0.264583333333333,0.0947916666666667,0.777190554003781,0.735691395943543,"Lundbeck, 2020"
"75",NA,62,"Makover, 2019","2019","other psy","cau",1,"The High School Transition Program (HSTP)","cau","smfq","smfq",7,"self-report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,61,NA,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,13.5,NA,NA,NA,"cut",NA,NA,NA,NA,NA,"Makover, 2019_The High School Transition Program (HSTP)_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Makover, 2019"
"76",NA,63,"March, 2004","2004","cbt",NA,1,"cbt",NA,"cdrs-r","cdrs",1,"clinician",59.64,4.52,111,NA,NA,NA,42.06,9.18,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0.108108108108108,NA,0.108108108108108,NA,NA,NA,NA,NA,58,54,10,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,14.6,1.5,NA,NA,"mdd",NA,NA,NA,-2.56642335766423,NA,"March, 2004_cbt_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.58,NA,17,113,0.444166666666667,0.0470833333333333,NA,NA,0.261041666666667,0.095625,NA,NA,0.42901941408013,NA,"March, 2004"
"77",56,56,"March","2004","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",58.94,4,109,61.18,4.27,112,36.3,8.18,109,41.77,7.99,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,0.155963302752294,0.107142857142857,0.155963302752294,0.107142857142857,73,53,71,50,NA,NA,NA,NA,12,"y","Anxiety, disruptive behaviour, obsessive-compulsice/tic, substance use, attention-deficit/hyperactivity","USA","12 to 17",NA,NA,NA,NA,14.6,1.5,54.4,54.4,"mdd","13",NA,NA,-3.7175697865353,-3.16639477977161,"March_2004_Fluoxetine_Placebo",-22.64,7.08,109,NA,NA,66,109,0,18,109,10,109,-19.41,6.93,112,NA,NA,39,112,0,23,112,3,112,NA,NA,17,113,0.436875,0.0416666666666667,0.460208333333333,0.0444791666666667,0.201041666666667,0.0852083333333333,0.258020833333333,0.0832291666666667,0.383130514088461,0.40347707493735,"March, 2004"
"78",NA,65,"Martinovic, 2006","2006","cbt","cau",1,"cbt","cau","ham-d","hamd",2,"clinician",5.9,0.8,16,5.7,0.7,16,3.3,1.29,15,5.8,1.98,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0.3125,0.0625,0.333333333333333,0.0666666666666667,NA,NA,NA,NA,60,68,6,1,NA,"n",NA,"eu",NA,NA,NA,NA,NA,17.4,1.6,NA,NA,"sub",NA,NA,NA,-2.48803827751196,0.0746268656716415,"Martinovic, 2006_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6,0.0999999999999996,0,52,0.113461538461538,0.0153846153846154,0.109615384615385,0.0134615384615385,0.0634615384615385,0.0248076923076923,0.111538461538462,0.0380769230769231,0.2,0.175,"Martinovic, 2006"
"79",NA,68,"Moeini, 2019","2019","cbt","cau",1,"DAD (Dorehye Amozeshie Dokhtaran)","cau","ces-d","ces_d",11,"self-report",24.6,11.7,64,22.3,11.8,64,18.5,14,64,21.4,15.6,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,21,0.34375,0.328125,0.34375,0.328125,NA,NA,NA,NA,63,100,21,16,NA,"n",NA,"other",NA,16.2,0.68,16.5,0.6,NA,NA,NA,NA,"cut",NA,NA,NA,-0.474708171206226,-0.0656934306569345,"Moeini, 2019_DAD (Dorehye Amozeshie Dokhtaran)_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.1,-0.900000000000002,0,60,0.41,0.195,0.371666666666667,0.196666666666667,0.308333333333333,0.233333333333333,0.356666666666667,0.26,1.4625,1.475,"Moeini, 2019"
"80",NA,69,"Mufson, 1999","1999","ipt","other ctr",1,"ipt","clinical monitoring","ham-d","hamd",2,"clinician",19.2,7.5,24,18.7,8.6,24,6.3,7.7,24,11.8,8.9,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,10,0.708333333333333,0.416666666666667,0.708333333333333,0.416666666666667,NA,NA,NA,NA,64,73,16,9,NA,"n",NA,"us",NA,15.7,1.4,15.9,1.7,NA,NA,NA,NA,"mdd",NA,NA,NA,-1.69736842105263,-0.788571428571428,"Mufson, 1999_ipt_clinical monitoring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.9,-6.9,0,52,0.369230769230769,0.144230769230769,0.359615384615385,0.165384615384615,0.121153846153846,0.148076923076923,0.226923076923077,0.171153846153846,1.53093108923949,1.75546764899461,"Mufson, 1999"
